#,Company,Batch,YC URL
90,yearend,Winter 2020,https://www.ycombinator.com/companies/yearend
91,Vori,Winter 2020,https://www.ycombinator.com/companies/vori
92,Termii,Winter 2020,https://www.ycombinator.com/companies/termii
93,inFeedo AI,Summer 2020,https://www.ycombinator.com/companies/infeedo-ai
94,Dripos,Summer 2020,https://www.ycombinator.com/companies/dripos
95,BukuWarung,Summer 2020,https://www.ycombinator.com/companies/bukuwarung
96,Vectrix,Summer 2020,https://www.ycombinator.com/companies/vectrix
97,Notabene,Summer 2020,https://www.ycombinator.com/companies/notabene
98,"Warmly,",Summer 2020,https://www.ycombinator.com/companies/warmly
99,Parrot Software 🦜,Summer 2020,https://www.ycombinator.com/companies/parrot-software
100,Queenly,Winter 2021,https://www.ycombinator.com/companies/queenly
101,Alinea,Winter 2021,https://www.ycombinator.com/companies/alinea
102,Popl,Winter 2021,https://www.ycombinator.com/companies/popl
103,Slash,Summer 2021,https://www.ycombinator.com/companies/slash
104,Moonshot Brands,Winter 2021,https://www.ycombinator.com/companies/moonshot-brands
105,MarqVision,Summer 2021,https://www.ycombinator.com/companies/marqvision
106,Clear,Winter 2021,https://www.ycombinator.com/companies/clear
107,MagicBell,Winter 2021,https://www.ycombinator.com/companies/magicbell
108,AOA Dx,Summer 2021,https://www.ycombinator.com/companies/aoa-dx-inc
109,Beeper,Summer 2021,https://www.ycombinator.com/companies/beeper
110,Yummy,Summer 2021,https://www.ycombinator.com/companies/yummy-inc
111,Ananya Health,Summer 2021,https://www.ycombinator.com/companies/ananya-health
112,Instacrops,Summer 2021,https://www.ycombinator.com/companies/instacrops
113,Coinrule,Summer 2021,https://www.ycombinator.com/companies/coinrule
114,Malloc Inc,Summer 2021,https://www.ycombinator.com/companies/malloc-inc
115,Telmai,Summer 2021,https://www.ycombinator.com/companies/telmai
116,Siglo,Summer 2021,https://www.ycombinator.com/companies/siglo
117,Novatr,Summer 2021,https://www.ycombinator.com/companies/novatr
118,Atlas,Summer 2021,https://www.ycombinator.com/companies/atlas
119,SFA Therapeutics,Summer 2021,https://www.ycombinator.com/companies/sfa-therapeutics-inc
120,Payflow,Summer 2021,https://www.ycombinator.com/companies/payflow
121,Andi,Winter 2022,https://www.ycombinator.com/companies/andi
122,Keylika,Summer 2022,https://www.ycombinator.com/companies/keylika
123,Peakflo,Winter 2022,https://www.ycombinator.com/companies/peakflo
124,Rosebud Biosciences,Winter 2022,https://www.ycombinator.com/companies/rosebud-biosciences
125,HOKALI,Winter 2022,https://www.ycombinator.com/companies/hokali
126,Mintlify,Winter 2022,https://www.ycombinator.com/companies/mintlify
127,Trackingplan,Winter 2022,https://www.ycombinator.com/companies/trackingplan
128,Talentropy.ai,Winter 2022,https://www.ycombinator.com/companies/talentropy-ai
129,Housewarming,Winter 2022,https://www.ycombinator.com/companies/housewarming
130,Koko,Winter 2022,https://www.ycombinator.com/companies/koko-2
131,HippoBuild,Winter 2022,https://www.ycombinator.com/companies/hippobuild
132,AiSupervision,Winter 2022,https://www.ycombinator.com/companies/aisupervision
133,Mono,Winter 2022,https://www.ycombinator.com/companies/mono-2
134,BBy,Winter 2022,https://www.ycombinator.com/companies/bby
135,Devyce,Summer 2022,https://www.ycombinator.com/companies/devyce
136,BlueHill Payments,Summer 2022,https://www.ycombinator.com/companies/bluehill-payments
137,Disclo,Summer 2022,https://www.ycombinator.com/companies/disclo
138,Malama Health,Summer 2022,https://www.ycombinator.com/companies/malama-health
139,AiPrise,Summer 2022,https://www.ycombinator.com/companies/aiprise
140,Kamion,Summer 2022,https://www.ycombinator.com/companies/kamion
141,Integrated Reasoning,Summer 2022,https://www.ycombinator.com/companies/integrated-reasoning
142,Polymath Robotics,Summer 2022,https://www.ycombinator.com/companies/polymath-robotics
143,OneText,Winter 2023,https://www.ycombinator.com/companies/onetext
144,DrDroid,Winter 2023,https://www.ycombinator.com/companies/drdroid
145,CreatorML,Winter 2023,https://www.ycombinator.com/companies/creatorml
146,Cosine,Winter 2023,https://www.ycombinator.com/companies/cosine
147,Alloy,Winter 2023,https://www.ycombinator.com/companies/alloy
148,Choppy!,Winter 2023,https://www.ycombinator.com/companies/choppy
149,SensorSurf,Winter 2023,https://www.ycombinator.com/companies/sensorsurf
150,Koywe,Winter 2023,https://www.ycombinator.com/companies/koywe
